"callsign","firstTransmissionDate","flag","geartype","id","imo","lastTransmissionDate","mmsi","msgCount","posCount","shipname","source","vesselType","years","dataset","score"
NA,"2012-06-13T10:44:20Z","ITA","drifting_longlines","7df132496-602d-33d4-27e5-60b50f9ae1ab",NA,"2022-08-15T19:00:07Z",247147180,749,88,NA,"AIS","Fishing","list(2013)","public-global-fishing-vessels:v20201001",95.701996
"IPDM","2012-09-12T04:24:01Z","ITA","drifting_longlines","b6cd9032c-cbfc-b3f9-702c-85c3403be71e",18615,"2013-12-06T18:56:09Z",247147180,430376,21707,"GIANNELLA","AIS","Fishing","list(2013)","public-global-fishing-vessels:v20201001",95.701996
"EA8363","2012-10-19T11:38:50Z","ESP","drifting_longlines","88f4bce25-537e-6292-e698-267ccd1ba432",0,"2023-11-06T08:55:00Z",224020170,3343516,167499,"GARCIA RODRIGUEZ","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",95.701996
NA,"2013-05-23T20:11:04Z","ESP","drifting_longlines","a96875dde-eb28-3173-198d-795d38adcc1f",NA,"2022-06-10T12:06:15.98Z",224020170,3276,481,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",95.701996
"EA4124","2012-11-28T16:53:37Z","ESP","drifting_longlines","fe090a354-4df8-99b5-75b1-2c92825a8eb7",0,"2023-09-15T06:55:40Z",224120840,7441566,250157,"ENRIQUE EL GATO","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",99.78859
"EA4124","2012-11-28T16:53:37Z","ESP","drifting_longlines","fe090a354-4df8-99b5-75b1-2c92825a8eb7",0,"2023-09-15T06:55:40Z",224120840,7441566,250157,"ENRIQUE EL GATO","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",99.78859
NA,"2013-04-01T06:54:42Z","ESP","drifting_longlines","6e801aa24-4565-197f-8a81-88d811c1810f",NA,"2022-06-12T14:26:40.27Z",224069970,2562,534,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",95.701996
"EA6069","2013-04-22T19:17:16Z","ESP","drifting_longlines","3bc611042-2fca-e3f6-686f-01a52235b483",0,"2023-11-26T23:59:57Z",224069970,35176919,704893,"LOS MORRINAS","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2013-05-03T18:31:20Z","ESP","drifting_longlines","bb997b772-23c5-4390-1a22-812a2d4e1533",NA,"2022-04-25T09:39:59.89Z",224134470,3148,620,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",95.701996
"EA3840","2013-05-06T17:02:47Z","ESP","drifting_longlines","7735401ec-c1ce-7278-4f47-04f099cff045",0,"2023-11-26T23:59:49Z",224134470,10324518,374149,"NUEVO TACONEO","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2013-03-21T18:06:10Z","ESP","drifting_longlines","a3170aafd-d25d-9278-d2a6-4029a26ebb23",NA,"2016-07-20T21:57:34Z",224148760,16375,1277,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016)","public-global-fishing-vessels:v20201001",93.01021
"EA7631","2013-05-06T16:19:09Z","ESP","drifting_longlines","242a11b2e-ef34-cb2e-3514-e16ca745aeed",0,"2017-12-28T14:50:00Z",224148760,827591,57248,"N ENCARNACION CANADA","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017)","public-global-fishing-vessels:v20201001",93.01021
"EA763","2017-12-31T22:36:16Z","ESP","drifting_longlines","0c6f89f51-1e4b-f656-f2d8-9eab95aebb0e",0,"2023-11-26T23:57:33Z",224148760,51087632,804928,"N ENCARNACION CANADA","AIS","Fishing","list(2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
NA,"2012-05-26T21:01:48Z","MAR","purse_seines","b5280cdab-bc2b-30e8-c86c-a91bd3271704",NA,"2022-10-07T11:29:50Z",242963000,367,138,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",95.701996
"CNA4379","2012-01-01T00:30:21Z","MAR","purse_seines","a0de30e8e-e6b9-efe1-4781-ec9a22b4e1bb",9098646,"2023-11-26T23:58:17Z",242963000,170499616,1590593,"TUNA BOAD AZROU-1","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2015-11-13T13:15:56Z","ESP","drifting_longlines","c68f695bb-bcbf-c4ba-6864-07b7caf4ade0",NA,"2022-10-14T10:32:51.82Z",224137290,50,17,NA,"AIS","Fishing","list(2015, 2016, 2017, 2018)","public-global-fishing-vessels:v20201001",95.701996
"EA8176","2013-04-09T13:36:23Z","ESP","drifting_longlines","d0d182e08-8aa0-6bb5-34a3-da5d7e708085",0,"2023-04-11T09:32:14Z",224137290,586265,47359,"ARCANGEL SAN RAFAEL","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018)","public-global-fishing-vessels:v20201001",95.701996
"EA4509","2013-05-19T11:22:27Z","ESP","drifting_longlines","6d1039056-6309-4f4f-9577-9aeda7bd21b6",0,"2023-11-26T23:59:19Z",224113720,7767646,525039,"HERMANOS CAPARROS","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2013-05-15T23:33:12Z","ESP","drifting_longlines","40be936ba-a707-7979-0882-2180d4c67f6c",NA,"2023-06-06T19:07:21Z",224113720,1221,301,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
"EABQ","2012-10-23T13:02:33Z","ESP","purse_seines","4233a3135-5536-6554-1fe4-c72a12abc171",1234567,"2020-05-21T09:39:06Z",224055440,512215,19602,"NUEVO ELORZ","AIS","Fishing","list(2013, 2017, 2018, 2019)","public-global-fishing-vessels:v20201001",95.701996
"EABQ","2020-05-22T10:13:17Z","ESP","purse_seines","b503ea027-7d48-0aea-e455-ec2b12d95f9e",9256781,"2023-07-09T07:17:07Z",224055440,1811691,88932,"NUEVO ELORZ","AIS","Fishing","list(2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
"ECAF","2013-05-06T19:43:51Z","ESP","drifting_longlines","b9d522444-448f-581d-0ba0-82130afa3465",0,"2015-11-23T04:22:05Z",224066830,758257,26646,"EL VITORINO","AIS","Fishing","list(2013, 2014, 2015)","public-global-fishing-vessels:v20201001",99.78859
NA,"2013-05-13T23:06:01Z","ESP","drifting_longlines","ac7fa57ca-a0cc-71a9-b7f0-3e9ff476adb1",NA,"2019-04-01T08:36:26Z",224120870,819,131,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016)","public-global-fishing-vessels:v20201001",95.701996
"EA-7441","2013-05-27T02:36:33Z","ESP","drifting_longlines","82ba5bbcc-cdc3-5d3d-9fb0-81ff51979088",0,"2020-02-18T11:44:10Z",224120870,8360783,112209,"SIEMPRE JOANA","AIS","Fishing","list(2013, 2014, 2015, 2016)","public-global-fishing-vessels:v20201001",95.701996
NA,"2013-03-18T11:34:59Z","ESP","drifting_longlines","c83af605a-ae26-d96b-cb50-abebcc5fd517",NA,"2022-03-17T09:41:00Z",224053650,3690,198,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",95.701996
